,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter
1,1011AB,1011AB,24,100,75,100,33,3x25,15694,"37,5",0
2,1011AC,1011AC,33,100,"72,73",100,30,3x25,11739,"15,15",0
4,1011AD,1011AD,21,100,"33,33",100,57,3x25,4557,"47,62",0
6,1011AE,1011AE,19,100,"36,84",100,68,3x25,3231,"26,32",0
7,1011AG,1011AG,12,100,"91,67",100,58,3x25,14012,"41,67",0
9,1011AH,1011AH,21,100,100,100,67,1x25,3570,"14,29",0
10,1011AJ,1011AJ,18,100,"94,44",100,39,1x25,2562,"11,11",0
12,1011AK,1011AK,13,100,"92,31",100,62,3x25,9582,"38,46",0
13,1011AL,1011AM,14,100,"92,86",100,64,3x25,7674,"42,86",0
15,1011AN,1011AN,28,100,"96,43",100,46,1x25,3637,25,0
16,1011AP,1011AP,20,100,95,100,40,1x25,4584,15,0
18,1011AR,1011AR,33,100,"93,94",100,42,1x25,6919,"27,27",0
20,1011AS,1011AS,13,100,"84,62",100,46,3x25,6434,"38,46",0
22,1011AT,1011AT,17,100,100,100,71,3x25,8217,"58,82",0
23,1011AV,1011AV,18,100,"94,44",100,56,3x25,4565,"27,78",0
24,1011AW,1011AW,21,100,"95,24",100,57,1x25,2760,"9,52",0
26,1011AX,1011AX,15,100,"93,33",100,53,3x25,3748,"6,67",0
28,1011AZ,1011AZ,14,100,100,100,43,1x50,3718,"14,29",0
30,1011BA,1011BA,10,100,30,100,40,3x25,2076,10,0
32,1011BB,1011BC,23,100,"95,65",100,61,3x25,3332,"13,04",0
33,1011BD,1011BD,22,100,"72,73",100,77,3x25,4484,0,0
35,1011BE,1011BE,10,100,100,100,90,3x25,2677,0,0
37,1011BG,1011BG,17,100,"70,59",100,88,3x25,2379,"11,76",0
38,1011BH,1011BH,32,100,"93,75",100,63,3x25,2834,"15,63",0
39,1011BJ,1011BJ,21,100,"90,48",100,48,1x25,6798,"23,81",0
41,1011BK,1011BK,16,100,100,100,63,3x25,2633,0,0
43,1011BL,1011BM,23,100,100,100,74,1x25,1784,0,0
45,1011BN,1011BN,21,100,"71,43",100,86,3x25,3041,0,0
47,1011BP,1011BP,17,100,"88,24",100,76,3x25,2368,"5,88",0
49,1011BR,1011BR,15,100,100,100,53,1x25,2298,20,0
51,1011BS,1011BS,26,100,"76,92",100,62,3x25,2710,"7,69",0
53,1011BT,1011BT,31,100,"93,55",100,52,3x25,2634,"3,23",0
55,1011BV,1011BV,20,100,80,100,50,3x25,2882,0,0
57,1011BW,1011BW,33,100,100,100,55,3x25,2845,"6,06",0
59,1011BX,1011BX,22,100,100,100,100,1x25,1725,0,0
61,1011BZ,1011BZ,28,100,"92,86",100,54,1x25,3934,"7,14",0
63,1011CA,1011CA,37,100,"56,76",100,97,3x25,1834,0,0
65,1011CB,1011CB,23,100,"86,96",100,57,1x25,2618,0,0
67,1011CC,1011CC,20,100,100,100,60,1x25,2586,5,0
70,1011CD,1011CD,17,100,"94,12",100,76,1x25,2064,0,0
71,1011CE,1011CE,11,100,"90,91",100,55,1x25,3146,0,0
73,1011CG,1011CH,28,100,"92,86",100,64,3x25,10749,"14,29",0
74,1011CJ,1011CJ,16,100,100,100,81,1x25,5609,"12,5",0
76,1011CK,1011CK,14,100,100,100,86,1x25,2205,0,0
78,1011CL,1011CL,10,100,100,100,80,1x25,1931,0,0
80,1011CM,1011CM,63,100,"82,54",100,41,3x25,2413,"4,76",0
81,1011CN,1011CR,27,100,"92,59",100,52,1x25,3774,"7,41",0
83,1011CS,1011CS,26,100,100,100,69,1x25,1878,0,0
85,1011CT,1011CT,18,100,"94,44",100,44,1x25,2691,0,0
87,1011CV,1011CV,18,100,100,100,83,1x25,2178,"5,56",0
89,1011CW,1011CW,15,100,100,100,53,1x25,2211,0,0
91,1011CX,1011CX,18,100,100,100,72,1x25,2667,0,0
93,1011CZ,1011CZ,20,100,95,100,50,1x25,2473,0,0
95,1011DB,1011DB,10,100,100,100,90,1x25,4829,10,0
97,1011DC,1011EA,56,100,"82,14",100,64,1x25,2873,"8,93",0
98,1011EB,1011EB,24,100,100,100,88,1x25,1617,0,0
100,1011EC,1011EC,19,100,"89,47",100,47,1x25,6403,"21,05",0
102,1011ED,1011ED,14,100,100,100,86,1x25,2371,0,0
104,1011EE,1011EE,16,100,100,100,100,1x25,1968,0,0
106,1011EG,1011EG,22,100,"90,91",100,82,1x25,1748,0,0
108,1011EH,1011EH,37,100,"97,3",100,76,1x25,3172,"8,11",0
