;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter
3;1011AC;1011AC;22;100;77,27;100;45;G4;3849;0;0
5;1011AD;1011AE;11;100;63,64;100;82;G4;1231;0;0
8;1011AG;1011AH;27;100;100;100;93;G4;2075;0;0
11;1011AJ;1011AJ;15;100;93,33;100;60;G4;1496;0;0
14;1011AM;1011AN;27;100;88,89;100;89;G4;2004;0;0
17;1011AP;1011AP;19;100;100;100;89;G4;2345;0;0
19;1011AR;1011AR;19;100;94,74;100;63;G4;2785;0;0
21;1011AS;1011AV;20;100;100;100;65;G4;5729;0;0
25;1011AW;1011AW;13;100;100;100;92;G4;1424;0;0
27;1011AX;1011AX;13;100;92,31;100;77;G4;2432;0;0
29;1011AZ;1011AZ;12;100;100;100;75;G4;2191;0;0
31;1011BA;1011BC;28;100;75;100;86;G4;1807;0;0
34;1011BD;1011BD;14;100;100;100;79;G4;2772;0;0
36;1011BE;1011BH;41;100;95,12;100;83;G4;1822;0;0
40;1011BJ;1011BJ;16;100;100;100;69;G4;3403;0;0
42;1011BK;1011BK;14;100;100;100;86;G4;1606;0;0
44;1011BL;1011BM;20;100;100;100;85;G4;1644;0;0
46;1011BN;1011BN;15;100;86,67;100;73;G4;1599;0;0
48;1011BP;1011BP;14;100;92,86;100;86;G4;2091;0;0
50;1011BR;1011BR;11;100;100;100;91;G4;1686;0;0
52;1011BS;1011BS;23;100;65,22;100;65;G4;2163;0;0
54;1011BT;1011BT;27;100;96,3;100;89;G4;1831;0;0
56;1011BV;1011BV;18;100;77,78;100;61;G4;2289;0;0
58;1011BW;1011BW;27;100;100;100;100;G4;1115;0;0
60;1011BX;1011BX;20;100;100;100;100;G4;1130;0;0
62;1011BZ;1011BZ;24;100;100;100;75;G4;1374;0;0
64;1011CA;1011CA;23;100;78,26;100;78;G4;1365;0;0
66;1011CB;1011CB;18;100;100;100;94;G4;1569;0;0
68;1011CC;1011CC;18;100;100;100;89;G4;1786;0;0
69;1011CD;1011CD;15;100;100;100;100;G4;1446;0;0
72;1011CE;1011CH;34;100;100;100;88;G4;2212;0;0
