;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter
2;1011AC;1011AC;22;100.0;81.82;100;41;G4;3938;0.0;18.18
4;1011AD;1011AE;11;100.0;45.45;100;82;G4;1248;0.0;9.09
7;1011AG;1011AH;27;100.0;100.0;100;96;G4;2199;0.0;14.81
10;1011AJ;1011AJ;15;100.0;93.33;100;73;G4;1722;0.0;33.33
13;1011AM;1011AN;28;100.0;96.43;100;86;G4;2662;0.0;50.0
16;1011AP;1011AP;19;100.0;73.68;100;89;G4;2526;0.0;42.11
18;1011AR;1011AR;19;100.0;100.0;100;63;G4;2547;0.0;26.32
20;1011AS;1011AV;20;100.0;100.0;100;65;G4;5914;0.0;40.0
24;1011AW;1011AW;13;100.0;100.0;100;92;G4;1375;0.0;7.69
26;1011AX;1011AX;14;100.0;92.86;100;93;G4;2408;0.0;71.43
28;1011AZ;1011AZ;26;100.0;69.23;100;92;G4;1704;0.0;65.38
30;1011BA;1011BA;15;100.0;40.0;100;87;G4;1221;0.0;33.33
32;1011BB;1011BC;22;100.0;95.45;100;91;G4;2163;0.0;40.91
34;1011BD;1011BD;19;100.0;100.0;100;89;G4;2493;0.0;68.42
36;1011BE;1011BG;16;100.0;93.75;100;88;G4;2061;0.0;6.25
38;1011BH;1011BH;28;100.0;92.86;100;82;G4;2090;0.0;14.29
40;1011BJ;1011BJ;16;100.0;100.0;100;69;G4;3333;0.0;12.5
42;1011BK;1011BK;14;100.0;100.0;100;86;G4;1602;0.0;0.0
44;1011BL;1011BM;20;100.0;100.0;100;85;G4;1494;0.0;10.0
46;1011BN;1011BN;15;100.0;86.67;100;73;G4;1554;0.0;13.33
48;1011BP;1011BP;14;100.0;92.86;100;86;G4;2739;0.0;7.14
50;1011BR;1011BR;11;100.0;100.0;100;91;G4;1478;0.0;0.0
52;1011BS;1011BS;27;100.0;74.07;100;70;G4;2608;0.0;48.15
54;1011BT;1011BT;27;100.0;96.3;100;89;G4;1717;0.0;44.44
56;1011BV;1011BV;21;100.0;66.67;100;67;G4;1968;0.0;52.38
58;1011BW;1011BW;27;100.0;100.0;100;100;G4;1198;0.0;74.07
60;1011BX;1011BX;20;100.0;100.0;100;100;G4;1103;0.0;95.0
62;1011BZ;1011BZ;25;100.0;100.0;100;80;G4;1227;0.0;84.0
64;1011CA;1011CA;24;100.0;79.17;100;79;G4;1459;0.0;75.0
66;1011CB;1011CB;18;100.0;94.44;100;100;G4;1402;0.0;94.44
68;1011CC;1011CC;18;100.0;100.0;100;89;G4;1804;0.0;61.11
69;1011CD;1011CD;15;100.0;100.0;100;100;G4;1283;0.0;93.33
72;1011CE;1011CH;34;100.0;97.06;100;88;G4;2273;0.0;23.53
75;1011CJ;1011CJ;15;100.0;100.0;100;100;G4;1327;0.0;0.0
77;1011CK;1011CK;12;100.0;100.0;100;100;G4;1276;0.0;0.0
79;1011CL;1011CM;59;100.0;96.61;100;93;G4;1127;0.0;40.68
82;1011CN;1011CR;20;100.0;100.0;100;85;G4;2476;0.0;0.0
84;1011CS;1011CS;22;100.0;100.0;100;86;G4;1559;0.0;0.0
86;1011CT;1011CT;17;100.0;94.12;100;100;G4;1299;0.0;0.0
88;1011CV;1011CV;17;100.0;100.0;100;100;G4;1406;0.0;0.0
90;1011CW;1011CW;13;100.0;100.0;100;100;G4;1097;0.0;0.0
92;1011CX;1011CX;19;100.0;100.0;100;95;G4;1050;0.0;0.0
94;1011CZ;1011CZ;19;100.0;100.0;100;95;G4;1383;0.0;21.05
96;1011DB;1011DD;109;100.0;97.25;100;98;G4;807;0.0;88.99
100;1011DL;1011EA;46;100.0;93.48;100;85;G4;1942;0.0;21.74
103;1011EB;1011EB;21;100.0;100.0;100;100;G4;1111;0.0;38.1
105;1011EC;1011EC;18;100.0;88.89;100;67;G4;2605;0.0;0.0
107;1011ED;1011ED;12;100.0;100.0;100;92;G4;1131;0.0;0.0
109;1011EE;1011EE;16;100.0;100.0;100;100;G4;971;0.0;0.0
111;1011EG;1011EG;21;100.0;100.0;100;95;G4;3138;0.0;0.0
113;1011EH;1011EH;32;100.0;100.0;100;91;G4;1489;0.0;12.5
115;1011EJ;1011EJ;34;100.0;100.0;100;94;G4;1550;0.0;2.94
116;1011EK;1011EK;23;100.0;91.3;100;87;G4;2963;0.0;4.35
119;1011EL;1011EL;37;100.0;89.19;100;89;G4;1426;0.0;2.7
121;1011EM;1011EM;15;100.0;100.0;100;80;G4;2551;0.0;0.0
