;POSTCODE_VAN;POSTCODE_TOT;Aantal Aansluitingen;%Leveringsrichting;%Fysieke status;%Defintieve aansl (NRM);%Soort aansluiting;Soort aansluiting Naam;SJV;%SJV laag tarief;%Slimme Meter
3;1011AC;1011AC;22;100;81,82;100;41;G4;3517;0;0
5;1011AD;1011AE;11;100;45,45;100;82;G4;1274;0;0
8;1011AG;1011AH;27;100;100;100;93;G4;3179;0;0
11;1011AJ;1011AJ;15;100;93,33;100;60;G4;1997;0;0
14;1011AM;1011AN;27;100;96,3;100;89;G4;2050;0;0
17;1011AP;1011AP;19;100;100;100;89;G4;2625;0;0
19;1011AR;1011AR;19;100;100;100;63;G4;2692;0;0
21;1011AS;1011AV;20;100;100;100;65;G4;5821;0;0
25;1011AW;1011AW;13;100;100;100;92;G4;1434;0;0
27;1011AX;1011AX;13;100;92,31;100;77;G4;2702;0;0
29;1011AZ;1011AZ;12;100;100;100;75;G4;2370;0;0
31;1011BA;1011BC;30;100;76,67;100;87;G4;2001;0;0
34;1011BD;1011BD;14;100;100;100;79;G4;2835;0;0
36;1011BE;1011BH;43;100;97,67;100;84;G4;2087;0;0
40;1011BJ;1011BJ;16;100;100;100;69;G4;3596;0;0
42;1011BK;1011BK;14;100;100;100;86;G4;1401;0;0
44;1011BL;1011BM;20;100;100;100;85;G4;1552;0;0
46;1011BN;1011BN;15;100;86,67;100;73;G4;1511;0;0
48;1011BP;1011BP;14;100;92,86;100;86;G4;3829;0;0
50;1011BR;1011BR;11;100;100;100;91;G4;1607;0;0
52;1011BS;1011BS;24;100;66,67;100;67;G4;2073;0;0
54;1011BT;1011BT;27;100;96,3;100;89;G4;1822;0;0
56;1011BV;1011BV;18;100;66,67;100;61;G4;2082;0;0
58;1011BW;1011BW;27;100;100;100;100;G4;1197;0;0
60;1011BX;1011BX;20;100;100;100;100;G4;1086;0;0
62;1011BZ;1011BZ;24;100;100;100;75;G4;1343;0;0
64;1011CA;1011CA;23;100;78,26;100;78;G4;1473;0;0
66;1011CB;1011CB;18;100;94,44;100;94;G4;1536;0;0
68;1011CC;1011CC;18;100;100;100;89;G4;1839;0;0
69;1011CD;1011CD;15;100;100;100;100;G4;1351;0;0
72;1011CE;1011CH;34;100;100;100;88;G4;2094;0;0
75;1011CJ;1011CJ;15;100;100;100;100;G4;1495;0;0
77;1011CK;1011CK;12;100;100;100;100;G4;1362;0;0
79;1011CL;1011CM;59;100;96,61;100;92;G4;1286;0;0
82;1011CN;1011CR;20;100;100;100;85;G4;3073;0;0
84;1011CS;1011CS;22;100;100;100;86;G4;1641;0;0
86;1011CT;1011CT;17;100;94,12;100;100;G4;1348;0;0
88;1011CV;1011CV;17;100;100;100;100;G4;1523;0;0
90;1011CW;1011CW;13;100;100;100;100;G4;982;0;0
92;1011CX;1011CX;19;100;100;100;95;G4;1057;0;0
94;1011CZ;1011CZ;19;100;100;100;95;G4;1399;0;0
96;1011DB;1011DD;49;100;89,8;100;98;G4;1939;0;69,39
99;1011DL;1011EA;42;100;92,86;100;83;G4;1905;0;0
102;1011EB;1011EB;21;100;100;100;100;G4;1065;0;0
104;1011EC;1011EC;18;100;88,89;100;61;G4;2943;0;0
106;1011ED;1011ED;12;100;100;100;92;G4;1304;0;0
108;1011EE;1011EE;16;100;100;100;100;G4;1109;0;0
110;1011EG;1011EG;21;100;100;100;95;G4;3172;0;0
112;1011EH;1011EH;32;100;100;100;91;G4;1593;0;0
114;1011EJ;1011EJ;34;100;100;100;94;G4;1502;0;0
115;1011EK;1011EK;22;100;95,45;100;86;G4;3143;0;0
118;1011EL;1011EL;37;100;89,19;100;84;G4;1519;0;0
120;1011EM;1011EM;15;100;100;100;80;G4;2223;0;0
122;1011EN;1011EN;25;100;100;100;92;G4;2828;0;0
124;1011ER;1011ET;47;100;100;100;96;G4;1573;0;0
127;1011EV;1011EW;44;100;97,73;100;98;G4;1293;0;0
129;1011EX;1011EX;25;100;100;100;96;G4;1169;0;0
131;1011EZ;1011GA;31;100;100;100;94;G4;1135;0;0
134;1011GB;1011GD;60;100;98,33;100;97;G4;1292;0;0
137;1011GG;1011GG;19;100;100;100;100;G4;1182;0;0
139;1011GH;1011GH;20;100;100;100;100;G4;1079;0;0
141;1011GJ;1011GJ;16;100;100;100;100;G4;1625;0;0
143;1011GK;1011GL;79;100;100;100;99;G4;892;0;0
145;1011GM;1011GM;18;100;100;100;100;G4;1536;0;0
147;1011GN;1011GN;26;100;100;100;96;G4;1327;0;0
149;1011GP;1011GR;37;100;100;100;95;G4;1145;0;0
152;1011GS;1011GS;36;100;94,44;100;89;G4;1693;0;0
154;1011GT;1011GT;10;100;100;100;90;G4;828;0;0
156;1011GV;1011GV;15;100;93,33;100;87;G4;1365;0;0
158;1011GW;1011GX;22;100;100;100;77;G4;2128;0;0
161;1011GZ;1011GZ;34;100;100;100;100;G4;921;0;0
163;1011HA;1011HB;204;100;99,51;100;98;G4;1200;0;0
165;1011HC;1011HC;42;100;76,19;100;95;G4;1028;0;0
167;1011HD;1011HD;19;100;52,63;100;89;G4;1383;0;0
169;1011HE;1011HE;17;100;100;100;94;G4;1529;0;0
171;1011HG;1011HG;26;100;100;100;92;G4;1057;0;0
173;1011HH;1011HH;20;100;100;100;100;G4;1352;0;0
175;1011HJ;1011HJ;14;100;100;100;71;G4;1580;0;0
177;1011HK;1011HK;10;100;100;100;90;G4;2193;0;0
179;1011HL;1011HL;20;100;100;100;100;G4;1143;0;0
181;1011HM;1011HP;24;100;95,83;100;83;G4;1838;0;0
183;1011HR;1011HR;42;100;100;100;90;G4;1652;0;0
185;1011HS;1011HS;38;100;100;100;84;G4;1597;0;0
187;1011HT;1011HT;20;100;100;100;85;G4;1943;0;0
189;1011HV;1011HV;20;100;100;100;85;G4;1856;0;0
191;1011HW;1011HW;23;100;100;100;91;G4;2217;0;0
193;1011HX;1011HX;11;100;100;100;91;G4;1535;0;0
195;1011HZ;1011HZ;37;100;100;100;84;G4;1672;0;2,7
197;1011JA;1011JA;18;100;94,44;100;72;G4;1578;0;0
199;1011JB;1011JB;36;100;97,22;100;89;G4;1229;0;0
201;1011JC;1011JH;91;100;97,8;100;92;G4;1532;0;0
204;1011JJ;1011JJ;10;100;100;100;80;G4;2612;0;0
206;1011JK;1011JK;11;100;81,82;100;91;G4;1025;0;0
208;1011JL;1011JL;26;100;100;100;96;G4;1365;0;0
210;1011JM;1011JM;13;100;69,23;100;85;G4;1442;0;0
212;1011JN;1011JN;16;100;100;100;81;G4;1803;0;0
214;1011JP;1011JP;11;100;100;100;91;G4;1783;0;0
216;1011JR;1011JR;12;100;100;100;100;G4;1893;0;0
218;1011JS;1011JT;20;100;100;100;75;G4;3482;0;0
220;1011JV;1011JV;17;100;94,12;100;76;G4;2725;0;0
222;1011JW;1011JX;20;100;100;100;65;G4;3837;0;0
225;1011JZ;1011JZ;14;100;100;100;86;G4;2182;0;0
227;1011KA;1011KA;30;100;100;100;97;G4;1909;0;0
229;1011KB;1011KB;21;100;100;100;81;G4;3346;0;0
231;1011KC;1011KC;24;100;100;100;88;G4;1879;0;0
233;1011KD;1011KD;14;100;71,43;100;79;G4;2887;0;0
235;1011KE;1011KH;23;100;100;100;70;G4;3450;0;0
237;1011KJ;1011KJ;32;100;96,88;100;94;G4;1282;0;0
239;1011KK;1011KK;26;100;100;100;96;G4;1330;0;0
241;1011KL;1011KM;11;100;100;100;73;G4;2690;0;0
243;1011KN;1011KN;20;100;100;100;95;G4;1302;0;0
