,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter
3,1011AC,1011AC,21,100,"90,48",100,43,G4,6052,0,0
5,1011AD,1011AH,35,100,"94,29",100,89,G4,1933,0,0
10,1011AJ,1011AJ,15,100,"93,33",100,60,G4,1523,0,0
13,1011AM,1011AN,25,100,96,100,88,G4,2103,0,0
16,1011AP,1011AP,18,100,100,100,89,G4,2679,0,0
18,1011AR,1011AR,19,100,100,100,58,G4,2498,0,0
20,1011AS,1011AV,20,100,100,100,65,G4,5913,0,0
24,1011AW,1011AW,13,100,100,100,92,G4,1232,0,0
26,1011AX,1011AX,13,100,"92,31",100,77,G4,2715,0,0
28,1011AZ,1011AZ,12,100,100,100,75,G4,2373,0,0
30,1011BA,1011BC,28,100,100,100,86,G4,1869,0,0
32,1011BD,1011BD,14,100,100,100,79,G4,2927,0,0
34,1011BE,1011BH,35,100,100,100,80,G4,2711,0,0
38,1011BJ,1011BJ,16,100,100,100,69,G4,3470,0,0
40,1011BK,1011BK,14,100,100,100,86,G4,1639,0,0
42,1011BL,1011BM,20,100,100,100,85,G4,1702,0,0
44,1011BN,1011BN,15,100,"86,67",100,73,G4,1744,0,0
46,1011BP,1011BP,13,100,100,100,85,G4,2701,0,0
48,1011BR,1011BR,11,100,100,100,91,G4,1684,0,0
50,1011BS,1011BS,23,100,"69,57",100,65,G4,2014,0,0
52,1011BT,1011BT,24,100,"87,5",100,75,G4,2097,0,0
54,1011BV,1011BV,18,100,"77,78",100,61,G4,2206,0,0
56,1011BW,1011BW,27,100,100,100,100,G4,1196,0,0
58,1011BX,1011BX,20,100,100,100,100,G4,1105,0,0
60,1011BZ,1011BZ,24,100,100,100,75,G4,1384,0,0
62,1011CA,1011CA,23,100,"78,26",100,78,G4,1395,0,0
64,1011CB,1011CB,18,100,100,100,94,G4,1355,0,0
66,1011CC,1011CC,18,100,100,100,89,G4,1746,0,0
67,1011CD,1011CD,15,100,100,100,100,G4,1310,0,0
70,1011CE,1011CH,34,100,100,100,88,G4,1960,0,0
73,1011CJ,1011CJ,15,100,100,100,100,G4,1427,0,0
75,1011CK,1011CK,12,100,100,100,100,G4,1286,0,0
77,1011CL,1011CM,59,100,"76,27",100,71,G4,1607,0,0
80,1011CN,1011CR,20,100,95,100,80,G4,2676,0,0
82,1011CS,1011CS,22,100,100,100,86,G4,1656,0,0
84,1011CT,1011CT,17,100,"94,12",100,100,G4,1160,0,0
86,1011CV,1011CV,17,100,100,100,100,G4,1455,0,0
88,1011CW,1011CW,12,100,100,100,100,G4,1590,0,0
90,1011CX,1011CX,17,100,100,100,94,G4,1285,0,0
92,1011CZ,1011CZ,19,100,100,100,95,G4,1463,0,0
94,1011DB,1011EA,52,100,"94,23",100,85,G4,2476,0,0
97,1011EB,1011EB,21,100,100,100,100,G4,1079,0,0
99,1011EC,1011EC,18,100,"88,89",100,61,G4,3110,0,0
101,1011ED,1011ED,12,100,100,100,92,G4,1490,0,0
103,1011EE,1011EE,16,100,100,100,100,G4,1115,0,0
105,1011EG,1011EG,21,100,100,100,95,G4,3604,0,0
107,1011EH,1011EH,32,100,"93,75",100,91,G4,1306,0,0
109,1011EJ,1011EJ,33,100,"93,94",100,88,G4,1665,0,0
110,1011EK,1011EK,22,100,"95,45",100,86,G4,3088,0,0
113,1011EL,1011EL,35,100,100,100,86,G4,1482,0,0
115,1011EM,1011EM,15,100,"93,33",100,80,G4,2837,0,0
117,1011EN,1011EN,25,100,100,100,92,G4,3170,0,0
119,1011ER,1011ET,47,100,"97,87",100,96,G4,1603,0,0
122,1011EV,1011EW,44,100,100,100,98,G4,1241,0,0
124,1011EX,1011EX,25,100,100,100,96,G4,1052,0,0
126,1011EZ,1011GA,31,100,100,100,94,G4,1277,0,0
129,1011GB,1011GD,60,100,100,100,97,G4,1328,0,0
132,1011GG,1011GG,19,100,100,100,100,G4,1394,0,0
134,1011GH,1011GH,20,100,100,100,100,G4,1907,0,0
136,1011GJ,1011GJ,16,100,100,100,100,G4,1418,0,0
138,1011GK,1011GL,78,100,100,100,99,G4,909,0,0
140,1011GM,1011GM,18,100,100,100,100,G4,1498,0,0
142,1011GN,1011GN,26,100,100,100,96,G4,1389,0,0
144,1011GP,1011GR,37,100,100,100,95,G4,1477,0,0
147,1011GS,1011GS,36,100,"97,22",100,89,G4,1856,0,0
149,1011GT,1011GT,10,100,100,100,90,G4,842,0,0
151,1011GV,1011GV,15,100,"86,67",100,87,G4,1279,0,0
153,1011GW,1011GX,22,100,100,100,77,G4,2262,0,0
156,1011GZ,1011GZ,34,100,100,100,100,G4,993,0,0
158,1011HA,1011HB,205,100,"99,51",100,95,G4,1329,0,0
160,1011HC,1011HC,33,100,100,100,94,G4,1162,0,0
162,1011HD,1011HD,19,100,100,100,89,G4,1372,0,0
164,1011HE,1011HE,17,100,100,100,94,G4,1733,0,0
166,1011HG,1011HG,26,100,100,100,92,G4,1118,0,0
168,1011HH,1011HH,20,100,100,100,100,G4,1282,0,0
170,1011HJ,1011HJ,13,100,100,100,69,G4,1635,0,0
172,1011HK,1011HK,10,100,100,100,90,G4,2268,0,0
174,1011HL,1011HL,20,100,90,100,100,G4,1271,0,0
176,1011HM,1011HP,24,100,100,100,83,G4,2226,0,0
178,1011HR,1011HR,42,100,"97,62",100,88,G4,1944,0,0
180,1011HS,1011HS,38,100,"97,37",100,82,G4,1645,0,0
182,1011HT,1011HT,20,100,100,100,80,G4,2121,0,0
184,1011HV,1011HV,20,100,100,100,85,G4,2168,0,0
186,1011HW,1011HW,23,100,100,100,91,G4,2610,0,0
188,1011HX,1011HX,11,100,100,100,91,G4,1501,0,0
190,1011HZ,1011HZ,37,100,100,100,84,G4,1797,0,0
192,1011JA,1011JA,18,100,"94,44",100,72,G4,1630,0,0
194,1011JB,1011JB,36,100,"97,22",100,89,G4,1203,0,0
196,1011JC,1011JH,87,100,"97,7",100,92,G4,1658,0,0
199,1011JJ,1011JJ,10,100,100,100,80,G4,2940,0,0
201,1011JK,1011JK,11,100,100,100,91,G4,1051,0,0
203,1011JL,1011JL,26,100,100,100,96,G4,1608,0,0
205,1011JM,1011JM,13,100,"84,62",100,85,G4,1449,0,0
207,1011JN,1011JN,16,100,100,100,81,G4,2040,0,0
209,1011JP,1011JP,11,100,100,100,91,G4,1966,0,0
211,1011JR,1011JR,12,100,100,100,100,G4,2020,0,0
213,1011JS,1011JT,19,100,100,100,79,G4,3658,0,0
215,1011JV,1011JV,17,100,"94,12",100,76,G4,2453,0,0
217,1011JW,1011JX,20,100,100,100,65,G4,3720,0,0
